Property Name,County,DesDate,National Register Number,Longitude,Latitude,Georeference,Type
Zion Church,Oneida,8/21/97,97NR01216,-75.45774288,43.21303871,POINT (-75.4577428817 43.213038705),church
Bay Shore Methodist Episcopal Church,Suffolk,8/15/01,01NR01764,-73.24548274,40.72369398,POINT (-73.2454827371 40.7236939824),church
Reformed Church of Newtown Complex,Queens,4/23/80,90NR01572,-73.87738423,40.73928559,POINT (-73.8773842316 40.7392855874),church
Gallupville Evangelical Lutheran Church,Schoharie,12/31/02,02NR05008,-74.23411933,42.66337559,POINT (-74.2341193327 42.6633755894),church
Fort Herkimer Church,Herkimer,7/24/72,90NR00585,-74.95428737,43.01796828,POINT (-74.9542873691 43.017968276),church
Zion Episcopal Church,Westchester,12/21/20,20NR00092,-73.87329426,41.01532961,POINT (-73.8732942641 41.0153296132),church
Reformed Church on Staten Island,Richmond,1/20/05,04NR05269,-74.13271651,40.63969157,POINT (-74.1327165117 40.6396915729),church
First Baptist Church of Camillus,Onondaga,6/8/01,01NR01753,-76.30741993,43.03866061,POINT (-76.3074199322 43.0386606116),church
Church of St. John in the Wilderness,Columbia,8/10/95,95NR00842,-73.51831728,42.12086591,POINT (-73.5183172819 42.1208659121),church
Cobblestone House at 1027 Stone Church Road,Seneca,9/28/07,07NR05745,-76.8844598,42.97648018,POINT (-76.8844597977 42.9764801758),church
New Scotland Presbyterian Church & Cemertery,Albany,8/29/10,09NR05983,-73.90634661,42.6306724,POINT (-73.9063466072 42.6306724002),church
Zion Episcopal Church and Rectory,St. Lawrence,6/6/03,99NR01512,-74.93904481,44.55371523,POINT (-74.9390448075 44.5537152326),church
Trinity Church,Chemung,10/31/07,06NR05680,-76.80787643,42.09037755,POINT (-76.8078764291 42.0903775523),church
St. Paul's Protestant Episcopal Church,Kings,12/21/89,90NR03153,-73.99798836,40.68169057,POINT (-73.9979883648 40.6816905719),church
Saint Luke's Episcopal Church,Queens,11/10/10,10NR06147,-73.84463104,40.71401348,POINT (-73.8446310392 40.714013476),church
Dutch Reformed (Sleepy Hollow) Church,Westchester,10/15/66,90NR02544,-73.86172267,41.09105616,POINT (-73.8617226679 41.0910561596),church
First Presbyterian Church,Schoharie,8/7/12,12NR06364,-74.61351228,42.48065026,POINT (-74.6135122763 42.4806502584),church
Church of the Transfiguration,New York,4/16/80,90NR00658,-73.9990829,40.71471494,POINT (-73.9990829018 40.7147149379),church
Reformed Dutch Church of New Hurley,Ulster,10/29/82,90NR01074,-74.14357362,41.63823582,POINT (-74.1435736194 41.6382358197),church
